balancing_area,reserve_type,direction,timepoint,target,day_repeat
system_wide_balancing_area,regulation,up,2023-04-10 22:00,23.25391668,23.59697386519945
system_wide_balancing_area,regulation,up,2023-05-02 00:00,26.59802061,18.0742778541953
system_wide_balancing_area,regulation,up,2023-05-02 02:00,26.59802061,18.0742778541953
system_wide_balancing_area,regulation,up,2023-05-02 04:00,23.20376778,18.0742778541953
system_wide_balancing_area,regulation,up,2023-05-02 06:00,67.74269013547514,18.0742778541953
system_wide_balancing_area,regulation,up,2023-05-02 08:00,254.73604460175633,18.0742778541953
system_wide_balancing_area,regulation,up,2023-05-02 10:00,260.16914961483985,18.0742778541953
system_wide_balancing_area,regulation,up,2023-05-02 12:00,260.16914961483985,18.0742778541953
system_wide_balancing_area,regulation,up,2023-05-02 14:00,260.16914961483985,18.0742778541953
system_wide_balancing_area,regulation,up,2023-05-02 16:00,253.42133463626763,18.0742778541953
system_wide_balancing_area,regulation,up,2023-05-02 18:00,65.3142348403799,18.0742778541953
system_wide_balancing_area,regulation,up,2023-05-02 20:00,26.59802061,18.0742778541953
system_wide_balancing_area,regulation,up,2023-05-02 22:00,26.59802061,18.0742778541953
system_wide_balancing_area,regulation,up,2023-06-17 00:00,20.64657468,28.61760660247595
system_wide_balancing_area,regulation,up,2023-06-17 02:00,12.543310799999999,28.61760660247595
system_wide_balancing_area,regulation,up,2023-06-17 04:00,19.449351,28.61760660247595
system_wide_balancing_area,regulation,up,2023-06-17 06:00,65.98041758426933,28.61760660247595
system_wide_balancing_area,regulation,up,2023-06-17 08:00,231.5590051280494,28.61760660247595
system_wide_balancing_area,regulation,up,2023-06-17 10:00,240.4603999668399,28.61760660247595
system_wide_balancing_area,regulation,up,2023-06-17 12:00,238.9489616748399,28.61760660247595
system_wide_balancing_area,regulation,up,2023-06-17 14:00,244.6970813248399,28.61760660247595
system_wide_balancing_area,regulation,up,2023-06-17 16:00,194.34695084289302,28.61760660247595
system_wide_balancing_area,regulation,up,2023-06-17 18:00,104.0110396512322,28.61760660247595
system_wide_balancing_area,regulation,up,2023-06-17 20:00,4.6988834418,28.61760660247595
system_wide_balancing_area,regulation,up,2023-06-17 22:00,6.3079515,28.61760660247595
system_wide_balancing_area,regulation,up,2023-08-18 00:00,26.59802061,34.6423658872077
system_wide_balancing_area,regulation,up,2023-08-18 02:00,26.59802061,34.6423658872077
system_wide_balancing_area,regulation,up,2023-08-18 04:00,16.62702828,34.6423658872077
system_wide_balancing_area,regulation,up,2023-08-18 06:00,53.102857077179195,34.6423658872077
