PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2041,StorageEnergyFixedCost,42992418.92563244,82377920.45857516,annual
2041,TotalGenCapitalCostsSubsidy,-18318750.887303904,-35100621.0212345,annual
2041,TotalGenFixedCosts,415576952.72339123,796288415.7572663,annual
2041,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2042,FuelCostsPerPeriod,96926471.33277278,191292776.39346007,annual
2042,GenVariableOMCostsInTP,38336663.17679214,75660721.32732104,timepoint
2042,Pumped_Hydro_Fixed_Cost_Annual,18084918.040777717,35692150.30010912,annual
2042,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2042,StorageEnergyFixedCost,43050545.608762346,84963976.11009413,annual
2042,TotalGenCapitalCostsSubsidy,-18473973.441735715,-36459984.791520774,annual
2042,TotalGenFixedCosts,390914291.47466934,771503172.6610221,annual
2042,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2043,FuelCostsPerPeriod,90820707.52442269,184619799.00021058,annual
2043,GenVariableOMCostsInTP,37136396.88638042,75490648.72580865,timepoint
2043,Pumped_Hydro_Fixed_Cost_Annual,17558172.855123997,35692150.30010912,annual
2043,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2043,StorageEnergyFixedCost,43109844.58518053,87633438.00317897,annual
2043,TotalGenCapitalCostsSubsidy,-18558209.115444694,-37725018.116335735,annual
2043,TotalGenFixedCosts,378045028.5475477,768487706.0081105,annual
2043,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2044,FuelCostsPerPeriod,82554594.81020422,172850988.60515216,annual
2044,GenVariableOMCostsInTP,35886769.345889345,75138925.62301461,timepoint
2044,Pumped_Hydro_Fixed_Cost_Annual,17046769.762256306,35692150.30010912,annual
2044,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2044,StorageEnergyFixedCost,43169693.00476882,90387750.443333,annual
2044,TotalGenCapitalCostsSubsidy,-18638853.935801186,-39025621.00482916,annual
2044,TotalGenFixedCosts,377273549.0555,789927030.4547235,annual
2044,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2045,FuelCostsPerPeriod,68769212.09071568,148307082.27070794,annual
2045,GenVariableOMCostsInTP,27994996.13875522,60373764.20776313,timepoint
2045,Pumped_Hydro_Fixed_Cost_Annual,16550261.90510321,35692150.30010912,annual
2045,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2045,StorageEnergyFixedCost,43229076.95192046,93227449.8584925,annual
2045,TotalGenCapitalCostsSubsidy,-18671068.973893918,-40265864.304808415,annual
2045,TotalGenFixedCosts,374487256.59080124,807615947.3701726,annual
2045,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
